description,label
ESSELUNGA MILANO,Alimentari
PAGAMENTO BANCOMAT LIDL,Alimentari
CARREFOUR EXPRESS ROMA,Alimentari
COOP ADRIATICA BOLOGNA,Alimentari
CONAD CITY FIRENZE,Alimentari
SUPERMERCATO PAM VENEZIA,Alimentari
EUROSPIN SICILIA CATANIA,Alimentari
SPESA SETTIMANALE ESSELUNGA,Alimentari
SCONTRINO CARREFOUR MARKET,Alimentari
DESPAR TORINO,Alimentari
IPERCOOP MODENA,Alimentari
TIGROS VARESE,Alimentari
PAGAMENTO POS BENNET,Alimentari
AUCHAN CASERTA,Alimentari
IPER LA GRANDE I,Alimentari
MD DISCOUNT VERONA,Alimentari
IN'S MERCATO,Alimentari
PENNY MARKET GENOVA,Alimentari
ALDI ITALIA,Alimentari
MARKET DECO,Alimentari
VIRGIN ACTIVE MILANO CORSO COMO,Wellness
MCFIT PALESTRA ROMA,Wellness
ABBONAMENTO MENSILE PALESTRA,Wellness
FARMACIA COMUNALE 24H,Wellness
PARAFARMACIA DR. MAX,Wellness
MYPROTEIN.COM ORDER,Wellness
DECATHLON MILANO CAIROLI,Wellness
CENTRO MEDICO SANTAGOSTINO,Wellness
NUTRIZIONISTA DOTT.SSA BIANCHI,Wellness
VISITA OCULISTICA PRIVATA,Wellness
STUDIO DENTISTICO ROSSI,Wellness
PAGAMENTO POS FARMACIA,Wellness
INTEGRATORI SPORTIVI DECATHLON,Wellness
FITNESS FIRST ABBONAMENTO,Wellness
ESAME DEL SANGUE LABORATORIO,Wellness
CORSO DI YOGA ONLINE,Wellness
PISCINA COMUNALE INGRESSO,Wellness
FISIOTERAPIA SEDUTA,Wellness
ERBORISTERIA L'ERBOLARIO,Wellness
LIFEGATE WELLNESS,Wellness
AMAZON.IT RETAIL,Shopping
ZALANDO PAYMENTS SE,Shopping
EBAY PAYMENTS,Shopping
TEMU.COM INTERNATIONAL,Shopping
SHEIN.COM ORDER,Shopping
IKEA ITALIA RETAIL,Shopping
H&M MILANO DUOMO,Shopping
ZARA ONLINE STORE,Shopping
MANGO ABBIGLIAMENTO,Shopping
APPLE STORE MILANO,Shopping
MEDIAWORLD ELETTRONICA,Shopping
UNIEURO ONLINE,Shopping
PAGAMENTO POS FNAC,Shopping
DECATHLON SHOPPING,Shopping
ASOS.COM FASHION,Shopping
YOOK NET-A-PORTER,Shopping
ADIDAS OFFICIAL STORE,Shopping
NIKE.COM ORDER,Shopping
MAISONS DU MONDE,Shopping
LEROY MERLIN FAI DA TE,Shopping
ENI STATION MILANO,Trasporti
SHELL FUEL ITALY,Trasporti
Q8 EASY SELF SERVICE,Trasporti
TRENITALIA AG. VIAGGIO,Trasporti
ITALO TRENO BIGLIETTI,Trasporti
UBER TRIP LONDON,Trasporti
TAXI MILANO 026969,Trasporti
BIGLIETTO ATM MILANO,Trasporti
ABBONAMENTO GTT TORINO,Trasporti
ATAC ROMA BIGLIETTERIA,Trasporti
FREENOW TAXI APP,Trasporti
AUTOSTRADE PER L'ITALIA PEDAGGIO,Trasporti
PAGAMENTO PARCHEGGIO BLU,Trasporti
RICARICA ENEL X MOBILITY,Trasporti
TESLA SUPERCHARGER,Trasporti
FLIXBUS TICKETS,Trasporti
AIR FRANCE TICKETS,Trasporti
RYANAIR BOOKING,Trasporti
EASYJET FLIGHT,Trasporti
TRIPADVISOR BOOKING,Trasporti
NETFLIX.COM SUBSCRIPTION,Abbonamenti
SPOTIFY PREMIUM ITALY,Abbonamenti
DISNEY PLUS MONTHLY,Abbonamenti
DAZN LTD STREAMING,Abbonamenti
PRIME VIDEO CHANNEL,Abbonamenti
APPLE.COM/BILL SUBSCRIPTION,Abbonamenti
YOUTUBE PREMIUM,Abbonamenti
GOOGLE ONE STORAGE,Abbonamenti
MICROSOFT 365 OFFICE,Abbonamenti
ADOBE CREATIVE CLOUD,Abbonamenti
PLAYSTATION NETWORK PSN,Abbonamenti
XBOX GAME PASS,Abbonamenti
AUDIBLE.IT AMAZON,Abbonamenti
NEW YORK TIMES DIGITAL,Abbonamenti
CORRIERE DELLA SERA DIGITAL,Abbonamenti
CHILI TV NOLEGGIO,Abbonamenti
RAIPLAY PREMIUM,Abbonamenti
PARAMOUNT PLUS,Abbonamenti
NINTENDO SWITCH ONLINE,Abbonamenti
CLOUDFLARE SUBSCRIPTION,Abbonamenti
TABACCHERIA MARIO MILANO,Vizi
LOTTO E SCOMMESSE SISAL,Vizi
CASINO ONLINE PAYMENTS,Vizi
PAGAMENTO TABACCHI E VALORI,Vizi
SNAI SCOMMESSE SPORTIVE,Vizi
POKERSTARS ONLINE,Vizi
BET365 PAYMENTS,Vizi
GIOCHI DEL LOTTO RICEVITORIA,Vizi
E-CIGARETTE SHOP,Vizi
VAPE STORE MILANO,Vizi
SIGARETTE E DISTRIBUTORE,Vizi
BINGO HALL ENTRANCE,Vizi
GRATTA E VINCI FORTUNA,Vizi
TABACCHI E GIORNALI,Vizi
IQOS STORE MILANO,Vizi
PAGAMENTO POS SLOT MACHINE,Vizi
VINI E LIQUORI ENOTECA,Vizi
BIRRERIA ARTIGIANALE,Vizi
COCKTAIL BAR MILANO,Vizi
PAGAMENTO DISCOTECA AMNESIA,Vizi
MCDONALD'S MILANO CENTRALE,Fast Food
BURGER KING ROMA TERMIRI,Fast Food
KFC ITALIA POLLO,Fast Food
POKE HOUSE BOWL,Fast Food
SUSHI ZEN ALL YOU CAN EAT,Fast Food
PIZZERIA DA COSIMO,Fast Food
GLOVO APP DELIVERY,Fast Food
DELIVEROO FOOD SERVICE,Fast Food
JUST EAT RISTORANTE,Fast Food
STARBUCKS COFFEE,Fast Food
FIVE GUYS BURGER,Fast Food
OLD WILD WEST,Fast Food
ROADHOUSE STEAKHOUSE,Fast Food
LA PIADINERIA,Fast Food
ALICE PIZZA,Fast Food
KEBAB DA ALI,Fast Food
PANINI DURINI,Fast Food
GROM GELATERIA,Fast Food
VENCHI CIOCCOLATO,Fast Food
CAFFÈ NAPOLI,Fast Food
AFFITTO APPARTAMENTO GENNAIO,Altro
BOLLETTA ENEL ENERGIA,Altro
BOLLETTA GAS E LUCE,Altro
FASTWEB SPA INTERNET,Altro
WINDTRE TELEFONIA,Altro
PRELIEVO ATM UNICREDIT,Altro
BONIFICO RICEVUTO STIPENDIO,Altro
PAGAMENTO TASSE TARI,Altro
CONDOMINIO SPESE MENSILI,Altro
ASSICURAZIONE AUTO GENERTEL,Altro
BOLLO AUTO ACI,Altro
TASSE UNIVERSITARIE POLIMI,Altro
DONAZIONE EMERGENCY,Altro
REGALO COMPLEANNO MAMMA,Altro
PAGAMENTO POS LAVANDERIA,Altro
FERRAMENTA BIANCHI,Altro
VIVIVERDE PIANTE E FIORI,Altro
VETERINARIO CLINICA SAN GIORGIO,Altro
MULTA POLIZIA LOCALE,Altro
F24 PAGAMENTO STATO,Altro
ESSELUNGA VIA WASHINGTON,Alimentari
CONAD VIA GIULINI,Alimentari
COOP FIRENZE SUD,Alimentari
LIDL CORSO SEMPIONE,Alimentari
CARREFOUR H24,Alimentari
EUROSPIN LOW COST,Alimentari
IPER LA GRANDE I ARESE,Alimentari
ESSELUNGA ONLINE CLICCA E RITIRA,Alimentari
SCONTRINO PANETTERIA,Alimentari
MACELLERIA DA GINO,Alimentari
FRUTTIVENDOLO BIO,Alimentari
PESCHERIA ADRIATICA,Alimentari
LATTERIA LOCALE,Alimentari
MARKET SOTTO CASA,Alimentari
BENNET CANTU,Alimentari
PAM LOCAL MILANO,Alimentari
COOP ALLEANZA 3.0,Alimentari
CONAD SUPERSTORE,Alimentari
ESSELUNGA DI PIU,Alimentari
CARREFOUR MARKET ROMA,Alimentari
PALESTRA MCFIT ABBONAMENTO,Wellness
VIRGIN ACTIVE CITTÀ STUDI,Wellness
FITNESS FIRST ROMA,Wellness
CERVICE MEDICO PRIVATO,Wellness
SPECIALISTA ORTOPEDICO,Wellness
LABORATORIO ANALISI CLINICHE,Wellness
FARMACIA MONTE NAPOLEONE,Wellness
OSSIGENO TERAPIA,Wellness
TERME DI SIRMIONE,Wellness
QC TERME MILANO,Wellness
ESTETISTA CERA E BELLEZZA,Wellness
PARRUCCHIERE JEAN LOUIS DAVID,Wellness
MASSAGGIO SHIATSU,Wellness
YOGA STUDIO NAMASTE,Wellness
PILATES CLASS,Wellness
CROSSFIT BOX MILANO,Wellness
DECATHLON CLUB,Wellness
FOOT LOCKER SCARPE SPORT,Wellness
CISALFA SPORT,Wellness
MYPROTEIN WHEY ISOLATE,Wellness
AMAZON PRIME ANNUALE,Shopping
STORE ZALANDO,Shopping
EBAY SHIPPING,Shopping
TEMU ORDER CONFIRMED,Shopping
SHEIN CLOTHING,Shopping
IKEA BOLOGNA CASALECCHIO,Shopping
H&M KIDS,Shopping
ZARA HOME,Shopping
MAISONS DU MONDE DECOR,Shopping
LEROY MERLIN BRICOLAGE,Shopping
OBI FAI DA TE,Shopping
CASTORAMA VECCHIO,Shopping
TRONY ELETTRONICA,Shopping
EURONICS POINT,Shopping
EXPERT ONLINE,Shopping
MEDIAWORLD SMARTPHONE,Shopping
GAMESTOP VIDEOGIOCHI,Shopping
TOYS CENTER GIOCATTOLI,Shopping
PRENATAL NEGOZIO,Shopping
CHICCO SHOP,Shopping
STAZIONE SERVIZIO ENI,Trasporti
DISTRIBUTORE IP,Trasporti
TOTALERG BENZINA,Trasporti
AUTOGRILL CAFFÈ,Trasporti
TELEPASS MENSILE,Trasporti
PARCHEGGIO AEROPORTO,Trasporti
MILANO MALPENSA EXPRESS,Trasporti
BIGLIETTO BUS URBANO,Trasporti
ABBONAMENTO METRO ROMA,Trasporti
NAVIGAZIONE LAGHI TICKETS,Trasporti
NOLEGGIO AUTO HERTZ,Trasporti
AVIS CAR RENTAL,Trasporti
ENJOY CAR SHARING,Trasporti
SHARE NOW DRIVE,Trasporti
LIME SCOOTER RENTAL,Trasporti
BIT MOBILITY APP,Trasporti
ZITY ELECTRIC CAR,Trasporti
TESLA DRIVE IN,Trasporti
GOMMISTA CAMBIO GOMME,Trasporti
BOLLO AUTO ONLINE,Trasporti
NETFLIX BASIC,Abbonamenti
SPOTIFY FAMILY PIANO,Abbonamenti
DISNEY+ PREPAID,Abbonamenti
DAZN STANDARD,Abbonamenti
PRIME STUDENT DISCOUNT,Abbonamenti
ICLOUD STORAGE UPGRADE,Abbonamenti
DROPBOX MONTHLY,Abbonamenti
SLACK TECHNOLOGIES,Abbonamenti
ZOOM VIDEO COMM,Abbonamenti
LINKEDIN PREMIUM,Abbonamenti
TINDER GOLD SUBSCRIPTION,Abbonamenti
BUMBLE PREMIUM,Abbonamenti
FLO APP PREMIUM,Abbonamenti
HEADSPACE MEDITATION,Abbonamenti
DUOLINGO PLUS,Abbonamenti
COURSERA SPECIALIZATION,Abbonamenti
UDEMY COURSE PURCHASE,Abbonamenti
SKILLSHARE ANNUAL,Abbonamenti
MASTERCLASS.COM,Abbonamenti
NEWSPAPER SUBSCRIPTION,Abbonamenti
TABACCHERIA GIULIANI,Vizi
RICEVITORIA SISAL MILANO,Vizi
LOTTOMATICA PAY,Vizi
SCOMMESSA CALCIO DERBY,Vizi
SNAI APP ONLINE,Vizi
EUROBET PAYMENTS,Vizi
GOLDBET SCOMMESSE,Vizi
PLANETWIN365,Vizi
BWIN ONLINE CASINO,Vizi
888 CASINO ITALY,Altro
LEOVEGAS PAYMENTS,Vizi
TOMBALA ONLINE,Vizi
TABACCHI VIA MANZONI,Vizi
DISTRIBUTORE AUTOMATICO SIGARETTE,Vizi
LIQUOR STORE ROMA,Vizi
BIRRERIA DA GIANNI,Vizi
WINE BAR ENOTECA,Vizi
DISCOTECA OLD FASHION,Vizi
INGRESSO CLUB PRIVATO,Vizi
COCKTAIL HOUSE,Vizi
MCDONALD'S DRIVE THRU,Fast Food
BURGER KING KING MEAL,Fast Food
KFC BUCKET CHICKEN,Fast Food
POKE HOUSE AVOCADO,Fast Food
SUSHI YI ALL YOU CAN EAT,Fast Food
PIZZERIA NAPOLETANA,Fast Food
TRAMEZZINO ITALIANDO,Fast Food
PANINI DA BAFFO,Fast Food
GLOVO DELIVERY FEE,Fast Food
DELIVEROO PLUS,Fast Food
JUST EAT CASHBACK,Fast Food
UBER EATS FOOD,Fast Food
STARBUCKS FRAPPUCCINO,Fast Food
COSTA COFFEE,Fast Food
DUNKIN DONUTS,Fast Food
DOMINO'S PIZZA,Fast Food
PIZZA HUT,Fast Food
STEAKHOUSE ROADHOUSE,Fast Food
TAPAS BAR,Fast Food
OSTERIA TIPICA,Fast Food
AFFITTO STANZA STUDENTI,Altro
BOLLETTA ACQUA,Altro
SPESE RISCALDAMENTO,Altro
TASSA RIFIUTI TARI,Altro
IMU SECONDA CASA,Altro
MUTUO CASA INTESA,Altro
INTERESSI PASSIVI BANCA,Altro
BONIFICO A MARIA ROSSI,Altro
REGALO MATRIMONIO,Altro
DONAZIONE WIKIMEDIA,Altro
SPESE NOTARILI,Altro
AVVOCATO BIANCHI ONOREVOLI,Altro
LAVAGGIO AUTO SELF,Altro
TINTORIA DA ANNA,Altro
COPIA CHIAVI FERRAMENTA,Altro
VIVAIO PIANTE VERDI,Altro
AMAZON.IT MARKETPLACE,Shopping
ZALANDO RETURNS,Shopping
EBAY AUCTION WIN,Shopping
POSTE ITALIANE SPEDIZIONE,Altro
ESSELUNGA SUPERMERCATO,Alimentari
LIDL DISCOUNT,Alimentari
CARREFOUR EXPRESS,Alimentari
COOP SUPERSTORE,Alimentari
CONAD MARKET,Alimentari
PAM PANORAMA,Alimentari
EUROSPIN ITALIA,Alimentari
IN'S MERCATO,Alimentari
PENNY MARKET,Alimentari
ALDI DEUTSCHLAND,Alimentari
MCFIT WELLNESS,Wellness
VIRGIN ACTIVE HEALTH,Wellness
ORANGE THEORY FITNESS,Wellness
STUDIO MEDICO PRIVATO,Wellness
SPECIALISTA CARDIOLOGO,Wellness
DENTISTA IGIENE DENTALE,Wellness
FARMACIA DI TURNO,Wellness
PARAFARMACIA ONLINE,Wellness
NUTRIZIONE E SALUTE,Wellness
INTEGRATORI VITAMINE,Wellness
AMAZON CLOTHING,Shopping
ZALANDO SHOES,Shopping
ZARA FASHION,Shopping
H&M HOME,Shopping
IKEA FURNITURE,Shopping
DECATHLON SPORT GEAR,Wellness
APPLE.COM STORE,Shopping
MEDIAWORLD TV,Shopping
UNIEURO PC,Shopping
GAMESTOP CONSOLE,Shopping
ENI BENZINAIA,Trasporti
Q8 RIFORNIMENTO,Trasporti
ESSO FUEL,Trasporti
IP AUTOMATICO,Trasporti
TRENITALIA TRENO,Trasporti
ITALO ALTA VELOCITÀ,Trasporti
UBER LONDRA,Trasporti
TAXI ROMA,Trasporti
ATM MILANO BIGLIETTO,Trasporti
PARCHEGGIO CENTRO,Trasporti
NETFLIX STREAMING,Abbonamenti
SPOTIFY MUSIC,Abbonamenti
DISney PLUS MOVIES,Abbonamenti
DAZN FOOTBALL,Abbonamenti
PRIME MEMBERSHIP,Abbonamenti
APPLE MUSIC,Abbonamenti
YOUTUBE ADS FREE,Abbonamenti
GOOGLE CLOUD,Abbonamenti
PAGAMENTO TABACCHERIA,Vizi
SCOMMESSA SPORTIVA,Vizi
SISAL SLOT,Vizi
LOTTOMATICA BINGO,Vizi
CASINO VENEZIA,Vizi
BIRRA AL PUB,Vizi
VINO AL RISTORANTE,Fast Food
COCKTAIL ESTIVO,Vizi
MCDONALD'S MENU,Fast Food
BURGER KING WHOPPER,Fast Food
KFC POLLO FRITTO,Fast Food
POKE BOWL PRANZO,Fast Food
SUSHI PRANZO,Fast Food
PIZZA DA ASPORTO,Fast Food
GLOVO CENA,Fast Food
DELIVEROO PRANZO,Fast Food
STIPENDIO MESE,Altro
AFFITTO CASA,Altro
BOLLETTA LUCE,Altro
BOLLETTA GAS,Altro
TELEFONO CELLULARE,Altro
INTERNET FIBRA,Altro
ASSICURAZIONE VITA,Altro
BOLLO MOTO,Altro
TASSE STATALI,Altro
BONIFICO AMICO,Altro
ESSELUNGA SPESA ONLINE,Alimentari
LIDL PAGAMENTO POS,Alimentari
CARREFOUR MARKET,Alimentari
COOP ADRIATICA,Alimentari
CONAD SAPORI E DINTORNI,Alimentari
PAM LOCAL,Alimentari
EUROSPIN SPESA,Alimentari
AUCHAN ITALIA,Alimentari
BENNET SUPERMERCATO,Alimentari
TIGROS VARESE MARKET,Alimentari
PALESTRA ABBONAMENTO,Wellness
FITNESS CLUB,Wellness
YOGA RETREAT,Wellness
CENTRO MASSAGGI,Wellness
CENTRO ESTETICO,Wellness
TERME E SPA,Wellness
FARMACIA CLINICA,Wellness
MEDICO DI BASE,Wellness
OCULISTA VISITA,Wellness
DERMATOLOGO CONSULTO,Wellness
AMAZON TECH,Shopping
ZALANDO ACCESSORIES,Shopping
NIKE STORE,Shopping
ADIDAS OUTLET,Shopping
PUMA SHOP,Shopping
REEBOK ONLINE,Shopping
MANGO FASHION,Shopping
BERSHKA CLOTHING,Shopping
STRADIVARIUS SHOP,Shopping
PULL & BEAR,Shopping
ENI GASOLIO,Trasporti
TOTALERG DIESEL,Trasporti
Q8 SENZA PIOMBO,Trasporti
SHELL V-POWER,Trasporti
TRENITALIA INTERCITY,Trasporti
ITALO SMART,Trasporti
UBER BLACK,Trasporti
FREE NOW TAXI,Trasporti
MOOVIT TICKETS,Trasporti
LIME SCOOTER PAY,Trasporti
NETFLIX PREMIUM,Abbonamenti
SPOTIFY STUDENT,Abbonamenti
DISNEY+ ANNUAL,Abbonamenti
DAZN PLUS,Abbonamenti
PRIME VIDEO RENTAL,Abbonamenti
HBO MAX,Abbonamenti
HULU SUBSCRIPTION,Abbonamenti
PARAMOUNT+ STREAMING,Abbonamenti
PEACOCK TV,Abbonamenti
DISCOVERY PLUS,Abbonamenti
TABACCHI E SALI,Vizi
GIOCO DIGITALE,Vizi
BETFAIR EXCHANGE,Vizi
POKERSTARS CASINO,Vizi
WILLIAM HILL,Vizi
UNIBET SCOMMESSE,Vizi
888 SPORT,Vizi
LEOVEGAS CASINO,Vizi
BWIN PREMIUM,Vizi
STARCASINO,Vizi
MCDONALD'S COLAZIONE,Fast Food
BURGER KING DINNER,Fast Food
KFC HOT WINGS,Fast Food
POKE SALMON,Fast Food
SUSHI CENA,Fast Food
PIZZERIA MARGHERITA,Fast Food
SPAGHETTERIA,Fast Food
OSTERIA DEL VINO,Fast Food
TRATTORIA DA MARIO,Fast Food
RISTORANTE CINESE,Fast Food
BONIFICO ENTRATA,Altro
RIMBORSO SPESE,Altro
REGALO NATALE,Altro
PRELIEVO CONTANTI,Altro
COMMISSIONE BANCARIA,Altro
INTERESSI MUTUO,Altro
RATA AUTO,Altro
BOLLO AUTO SCADENZA,Altro
MULTA DIVIETO SOSTA,Altro
TASSA RIFIUTI,Altro
ESSELUNGA SCONTRINO,Alimentari
CONAD CITY,Alimentari
COOP LOMBARDIA,Alimentari
LIDL ITALIA SRL,Alimentari
CARREFOUR ROMA,Alimentari
PAM SUPERMERCATI,Alimentari
IPERCOOP,Alimentari
ESSELUNGA WASHINGTON,Alimentari
CARREFOUR EXPRESS MILANO,Alimentari
LIDL CORSO SEMPIONE,Alimentari
VIRGIN ACTIVE CLUB,Wellness
MCFIT FITNESS,Wellness
PALESTRA COMUNALE,Wellness
FARMACIA DEL CORSO,Wellness
FARMACIA SAN GIORGIO,Wellness
STUDIO MEDICO BIANCHI,Wellness
CHIRURGIA ESTETICA,Wellness
TRATTAMENTO VISO,Wellness
MANICURE E PEDICURE,Wellness
TAGLIO CAPELLI,Wellness
AMAZON BOOKS,Shopping
ZALANDO LOUNGE,Shopping
EBAY SELLER,Shopping
ALIEXPRESS ORDER,Shopping
WISH.COM SHOP,Shopping
GEARBEST TECH,Shopping
BANGGOOD ONLINE,Shopping
ETSY HANDMADE,Shopping
IKEA MILANO,Shopping
IKEA ROMA,Shopping
AUTOSTRADA PEDAGGIO,Trasporti
TELEPASS RATA,Trasporti
BENZINAIO IP,Trasporti
DISTRIBUTORE API,Trasporti
FUEL STATION,Trasporti
STAZIONE SERVIZIO,Trasporti
BIGLIETTO TRENO,Trasporti
TRENO ALTA VELOCITÀ,Trasporti
VOLO AEREO,Trasporti
BIGLIETTO AEREO,Trasporti
NETFLIX ITALY,Abbonamenti
SPOTIFY ABBONAMENTO,Abbonamenti
DISNEY PLUS ITALIA,Abbonamenti
DAZN ABBONAMENTO,Abbonamenti
SKY ONLINE,Abbonamenti
NOW TV,Abbonamenti
INFINITY TV,Abbonamenti
EUROSPORT PLAYER,Abbonamenti
TENNIS TV,Abbonamenti
NBA LEAGUE PASS,Abbonamenti
TABACCHERIA CENTRO,Vizi
RICEVITORIA LOTTO,Vizi
SCOMMESSE IPPICHE,Vizi
SCOMMESSE VIRTUALI,Vizi
BETTING APP,Vizi
GRATTA E VINCI,Vizi
SUPERENALOTTO,Vizi
EUROJACKPOT,Vizi
CASINO CAMPIONE,Vizi
CASINO SANREMO,Vizi
MC DONALDS,Fast Food
BURGER KING ITALIA,Fast Food
KFC MILANO,Fast Food
POKÈ HOUSE,Fast Food
SUSHI RESTAURANT,Fast Food
PIZZA EXPRESS,Fast Food
PIZZA TAKE AWAY,Fast Food
GLOVO FOOD,Fast Food
DELIVEROO DELIVERY,Fast Food
JUST EAT ORDER,Fast Food
AFFITTO APPARTAMENTO,Altro
RATA KONDOMINIO,Altro
BOLLETTA TELEFONO,Altro
RICARICA CELLULARE,Altro
ABBONAMENTO RIVISTA,Abbonamenti
ASSICURAZIONE CASA,Altro
ASSICURAZIONE VIAGGIO,Altro
DONAZIONE ONLUS,Altro
OFFERTA CHIESA,Altro
PAGAMENTO POS BAR,Vizi
ESSELUNGA MILANO,Alimentari
COOP ADRIATICA,Alimentari
CONAD CITY,Alimentari
LIDL ITALIA,Alimentari
CARREFOUR EXPRESS,Alimentari
IPER LA GRANDE I,Alimentari
AUCHAN CASERTA,Alimentari
PENNY MARKET,Alimentari
EUROSPIN SPESA,Alimentari
MD DISCOUNT,Alimentari
PALESTRA MCFIT,Wellness
VIRGIN ACTIVE,Wellness
GYM H24,Wellness
FARMACIA COMUNALE,Wellness
STUDIO MEDICO,Wellness
DENTISTA ROMA,Wellness
FISIOTERAPISTA,Wellness
ERBORISTERIA,Wellness
ESTETISTA,Wellness
PARRUCCHIERE,Wellness
AMAZON.IT,Shopping
ZALANDO,Shopping
EBAY,Shopping
IKEA ITALIA,Shopping
DECATHLON,Wellness
H&M MILANO,Shopping
ZARA ROMA,Shopping
MEDIAWORLD,Shopping
UNIEURO,Shopping
EURONICS,Shopping
BENZINA ENI,Trasporti
GASOLIO Q8,Trasporti
DISTRIBUTORE IP,Trasporti
TELEPASS,Trasporti
TRENITALIA,Trasporti
ITALO TRENO,Trasporti
EUROPEAN ASSISTANCE,Altro
PAGAMENTO PARCHEGGIO,Trasporti
TAXIBLU MILANO,Trasporti
UBER TRIP,Trasporti
NETFLIX,Abbonamenti
SPOTIFY,Abbonamenti
DAZN,Abbonamenti
DISNEY+,Abbonamenti
SKY WIFI,Altro
PRIME VIDEO,Abbonamenti
APPLE.COM/BILL,Abbonamenti
GOOGLE STORAGE,Abbonamenti
DROPBOX,Abbonamenti
MICROSOFT OFFICE,Abbonamenti
TABACCHERIA BIANCHI,Vizi
SISAL SCOMMESSE,Vizi
LOTTOMATICA,Vizi
CASINO ONLINE,Vizi
GRATTA E VINCI,Vizi
SNAI PAY,Vizi
BET365,Vizi
POKERSTARS,Vizi
BIRRERIA,Vizi
ENOTECA,Vizi
MCDONALD'S,Fast Food
BURGER KING,Fast Food
POKE HOUSE,Fast Food
SUSHI ZEN,Fast Food
PIZZERIA,Fast Food
GLOVO DELIVERY,Fast Food
DELIVEROO,Fast Food
JUST EAT,Fast Food
STARBUCKS,Fast Food
KEBAB DA ALI,Fast Food
AFFITTO,Altro
STIPENDIO,Altro
BOLLETTA LUCE,Altro
BOLLETTA GAS,Altro
BOLLETTA ACQUA,Altro
CONDOMINIO,Altro
ASSICURAZIONE AUTO,Altro
BOLLO AUTO,Altro
TASSE,Altro
EREDITÀ,Altro
ESSELUNGA,Alimentari
LIDL,Alimentari
CARREFOUR,Alimentari
COOP,Alimentari
CONAD,Alimentari
PAM,Alimentari
EUROSPIN,Alimentari
IPERCOOP,Alimentari
BENNET,Alimentari
MD,Alimentari
MCFIT,Wellness
VIRGIN,Wellness
PALESTRA,Wellness
FARMACIA,Wellness
MEDICO,Wellness
DENTISTA,Wellness
LABORATORIO,Wellness
CLINICA,Wellness
SPORTLER,Wellness
CISALFA,Wellness
AMAZON,Shopping
ZALANDO,Shopping
EBAY,Shopping
IKEA,Shopping
ZARA,Shopping
H&M,Shopping
MEDIAWORLD,Shopping
UNIEURO,Shopping
APPLE,Shopping
SAMSUNG,Shopping
ENI,Trasporti
Q8,Trasporti
SHELL,Trasporti
ESSO,Trasporti
IP,Trasporti
TRENITALIA,Trasporti
ITALO,Trasporti
RYANAIR,Trasporti
EASYJET,Trasporti
UBER,Trasporti
NETFLIX,Abbonamenti
SPOTIFY,Abbonamenti
DAZN,Abbonamenti
DISNEY,Abbonamenti
PRIME,Abbonamenti
ICLOUD,Abbonamenti
GOOGLE,Abbonamenti
ADOBE,Abbonamenti
PSN,Abbonamenti
XBOX,Abbonamenti
TABACCHI,Vizi
SISAL,Vizi
SNAI,Vizi
CASINO,Vizi
WIN,Vizi
LOTTO,Vizi
BAR,Vizi
PUB,Vizi
DISCO,Vizi
VINO,Vizi
MCDONALD,Fast Food
BURGER,Fast Food
KFC,Fast Food
SUSHI,Fast Food
POKE,Fast Food
PIZZA,Fast Food
GLOVO,Fast Food
DELIVEROO,Fast Food
JUSTEAT,Fast Food
PANINI,Fast Food
AFFITTO,Altro
LUCE,Altro
GAS,Altro
INTERNET,Altro
TELEFONO,Altro
STIPENDIO,Altro
TASSE,Altro
MULTA,Altro
AUTO,Altro
CASA,Altro
